locusnum	CHR	INDEP_BP	INDEP_SNP	CAND_BP	CAND_SNP	R2	LEAD_SNP	PVAL	A1	A2	N
1	21	15308819	rs117891312	15317015	rs2822286	0.7883180000000001	rs117891312				
1	21	15308819	rs117891312	15317446	rs3119546	0.7883180000000001	rs117891312				
1	21	15308819	rs117891312	15318446	rs3119547	0.755224	rs117891312				
1	21	15308819	rs117891312	15318511	rs2822288	0.7883180000000001	rs117891312				
1	21	15308819	rs117891312	15318592	rs76408539	0.992858	rs117891312				
1	21	15308819	rs117891312	15318883	rs3119548	0.7883180000000001	rs117891312				
1	21	15308819	rs117891312	15319062	rs3094828	0.7883180000000001	rs117891312				
1	21	15308819	rs117891312	15319111	rs2822289	0.769201	rs117891312				
1	21	15308819	rs117891312	15319185	rs2822290	0.7883180000000001	rs117891312				
1	21	15308819	rs117891312	15320744	rs2822292	0.793428	rs117891312				
1	21	15308819	rs117891312	15321497	rs2822295	0.793428	rs117891312				
1	21	15308819	rs117891312	15322836	rs2822302	0.7883180000000001	rs117891312				
1	21	15308819	rs117891312	15331425	rs2822335	0.900142	rs117891312				
1	21	15388495	rs9981958	15388495	rs9981958	1.0	rs9981958	1.0000000000000001e-11	A	T	23414.0
1	21	15388495	rs9981958	15390052	rs55848124	0.705262	rs9981958				
1	21	15388495	rs9981958	15393143	rs55786973	0.705262	rs9981958				
1	21	15388495	rs9981958	15393965	rs13052324	0.705262	rs9981958				
1	21	15388495	rs9981958	15394771	rs74532836	0.705262	rs9981958				
1	21	15388495	rs9981958	15397636	rs6516571	0.705262	rs9981958				
1	21	15388495	rs9981958	15400618	rs2822383	0.635551	rs9981958				
1	21	15388495	rs9981958	15400796	rs12482368	0.679511	rs9981958				
1	21	15388495	rs9981958	15401698	rs2822384	0.635551	rs9981958				
1	21	15388495	rs9981958	15405648	rs60821881	0.704236	rs9981958				
1	21	15388495	rs9981958	15406363	rs4611722	0.635551	rs9981958				
1	21	15388495	rs9981958	15406669	rs7283783	0.643145	rs9981958				
1	21	15388495	rs9981958	15408924	rs34338538	0.70045	rs9981958				
1	21	15388495	rs9981958	15409400	rs2155966	0.8989590000000001	rs9981958				
1	21	15388495	rs9981958	15412891	rs8129930	0.70045	rs9981958				
1	21	15388495	rs9981958	15413315	rs56367995	0.692944	rs9981958				
1	21	15388495	rs9981958	15413317	rs56230137	0.692944	rs9981958				
1	21	15388495	rs9981958	15417558	rs13048438	0.6891609999999999	rs9981958				
1	21	15388495	rs9981958	15428168	rs9974039	0.648958	rs9981958				
1	21	15388495	rs9981958	15428694	rs148470751	0.690814	rs9981958				
1	21	15388495	rs9981958	15428716	rs62209906	0.665945	rs9981958				
1	21	15388495	rs9981958	15430004	rs13046630	0.6966859999999999	rs9981958				
1	21	15388495	rs9981958	15430711	rs35827720	0.6966859999999999	rs9981958				
1	21	15388495	rs9981958	15434304	rs34054538	0.6966859999999999	rs9981958				
1	21	15388495	rs9981958	15435195	rs28494907	0.6368510000000001	rs9981958				
1	21	15388495	rs9981958	15436365	rs62209918	0.693991	rs9981958				
1	21	15388495	rs9981958	15436605	rs35178815	0.692944	rs9981958				
1	21	15388495	rs9981958	15436681	rs11908695	0.682667	rs9981958				
1	21	15388495	rs9981958	15438817	rs114280484	0.70045	rs9981958				
1	21	15388495	rs9981958	15439452	rs7364079	0.70045	rs9981958				
1	21	15388495	rs9981958	15440470	rs34063400	0.6966859999999999	rs9981958				
1	21	15388495	rs9981958	15442014	rs71315759	0.66977	rs9981958				
1	21	15388495	rs9981958	15442450	rs56401592	0.6709510000000001	rs9981958				
1	21	15388495	rs9981958	15442979	rs12483418	0.6709510000000001	rs9981958				
1	21	15388495	rs9981958	15442980	rs12483548	0.6654800000000001	rs9981958				
1	21	15388495	rs9981958	15443575	rs28385573	0.656443	rs9981958				
1	21	15443466	rs117587472	15393259	rs62209890	0.8092090000000001	rs117587472				
1	21	15443466	rs117587472	15393484	rs62209891	0.8092090000000001	rs117587472				
1	21	15443466	rs117587472	15399657	rs62209894	0.8092090000000001	rs117587472				
1	21	15443466	rs117587472	15403323	rs62209895	0.8092090000000001	rs117587472				
1	21	15443466	rs117587472	15405029	rs62209896	0.8092090000000001	rs117587472				
1	21	15443466	rs117587472	15409082	rs62209897	0.8092090000000001	rs117587472				
1	21	15443466	rs117587472	15412436	rs62209898	0.8092090000000001	rs117587472				
1	21	15443466	rs117587472	15415980	rs62209899	0.792221	rs117587472				
1	21	15443466	rs117587472	15416541	rs62209900	0.792221	rs117587472				
1	21	15443466	rs117587472	15417613	rs62209901	0.77531	rs117587472				
1	21	15443466	rs117587472	15419388	rs116972111	0.792221	rs117587472				
1	21	15443466	rs117587472	15421061	rs62209902	0.8092090000000001	rs117587472				
1	21	15443466	rs117587472	15426713	rs62209903	0.792957	rs117587472				
1	21	15443466	rs117587472	15427599	rs62209904	0.792957	rs117587472				
1	21	15443466	rs117587472	15433523	rs62209911	0.775994	rs117587472				
1	21	15443466	rs117587472	15434749	rs62209913	0.775994	rs117587472				
1	21	15443466	rs117587472	15434820	rs62209914	0.775994	rs117587472				
1	21	15443466	rs117587472	15435502	rs62209915	0.775994	rs117587472				
1	21	15443466	rs117587472	15436782	rs62209919	0.792957	rs117587472				
1	21	15443466	rs117587472	15436854	rs62209920	0.792957	rs117587472				
1	21	15443466	rs117587472	15438891	rs117959825	0.8092090000000001	rs117587472				
1	21	15443466	rs117587472	15439221	rs62209921	0.8092090000000001	rs117587472				
1	21	15443466	rs117587472	15440353	rs75423981	0.8092090000000001	rs117587472				
1	21	15443466	rs117587472	15443466	rs117587472	1.0	rs117587472	1.0000000000000001e-11	T	C	23397.0
1	21	15443466	rs117587472	15444156	rs62209924	0.8775040000000001	rs117587472				
1	21	15443466	rs117587472	15448722	rs77327242	0.8949600000000001	rs117587472				
1	21	15458160	rs113534237	15454740	rs61389967	1.0	rs113534237				
1	21	15458160	rs113534237	15456786	rs7277954	0.9552120000000001	rs113534237				
1	21	15458160	rs113534237	15458160	rs113534237	1.0	rs113534237	1.0000000000000001e-11	T	C	23368.0
1	21	15458160	rs113534237	15458401	rs62211268	0.9552120000000001	rs113534237				
1	21	15458160	rs113534237	15459120	rs11909921	0.9552120000000001	rs113534237				
1	21	15458160	rs113534237	15459384	rs59000260	1.0	rs113534237				
1	21	15458160	rs113534237	15461927	rs112934699	0.9552120000000001	rs113534237				
1	21	15458160	rs113534237	15463113	rs60508142	1.0	rs113534237				
1	21	15458160	rs113534237	15464726	rs113781527	0.9552120000000001	rs113534237				
1	21	15458160	rs113534237	15464735	rs149099404	0.9552120000000001	rs113534237				
1	21	15458160	rs113534237	15465810	rs73342190	1.0	rs113534237				
1	21	15458160	rs113534237	15466493	rs73342196	1.0	rs113534237				
1	21	15458160	rs113534237	15467051	rs113307380	0.723528	rs113534237				
1	21	15458160	rs113534237	15468057	rs11911786	0.9552120000000001	rs113534237				
1	21	15458160	rs113534237	15468627	rs7276946	0.9552120000000001	rs113534237				
1	21	15458160	rs113534237	15468865	rs7276296	0.9552120000000001	rs113534237				
1	21	15458160	rs113534237	15475879	rs62208630	0.772771	rs113534237				
1	21	15458160	rs113534237	15482487	rs62208636	0.744111	rs113534237				
1	21	15458160	rs113534237	15483172	rs150848512	0.744111	rs113534237				
1	21	15458160	rs113534237	15483580	rs79490739	0.744111	rs113534237				
1	21	15458160	rs113534237	15485763	rs59313234	0.744111	rs113534237				
1	21	15489843	rs2822410	15489377	rs12627550	0.9917889999999999	rs2822410				
1	21	15489843	rs2822410	15489766	rs2822409	1.0	rs2822410				
1	21	15489843	rs2822410	15489843	rs2822410	1.0	rs2822410	1.0000000000000001e-11	T	G	23401.0
1	21	15489843	rs2822410	15489960	rs2822411	0.6039939999999999	rs2822410				
1	21	15489843	rs2822410	15491027	rs2822413	0.6039939999999999	rs2822410				
1	21	15489843	rs2822410	15491250	rs2246835	0.6039939999999999	rs2822410				
1	21	15489843	rs2822410	15491773	rs1115649	1.0	rs2822410				
1	21	15489843	rs2822410	15491871	rs2187063	0.6039939999999999	rs2822410				
1	21	15489843	rs2822410	15492325	rs2155970	0.991864	rs2822410				
1	21	15489843	rs2822410	15493124	rs2822419	0.9877299999999999	rs2822410				
1	21	15489843	rs2822410	15493550	rs2187064	0.6039939999999999	rs2822410				
1	21	15489843	rs2822410	15506594	rs12482173	0.9877299999999999	rs2822410				
1	21	15489843	rs2822410	15509794	rs12482474	0.9958950000000001	rs2822410				
1	21	15489843	rs2822410	15514811	rs8127774	0.705801	rs2822410				
1	21	15519520	rs11087929	15518672	rs993752	1.0	rs11087929				
1	21	15519520	rs11087929	15519520	rs11087929	1.0	rs11087929	1.0000000000000001e-11	C	G	23429.0
1	21	15519520	rs11087929	15519793	rs11087930	0.981591	rs11087929				
1	21	15519520	rs11087929	15520096	rs73894171	0.9813200000000001	rs11087929				
1	21	15519520	rs11087929	15520628	rs73894172	1.0	rs11087929				
1	21	15519520	rs11087929	15520761	rs148300971	0.623332	rs11087929				
1	21	15519520	rs11087929	15521896	rs2212713	0.623332	rs11087929				
1	21	15519520	rs11087929	15522564	rs79917237	0.9813200000000001	rs11087929				
1	21	15519520	rs11087929	15523863	rs60457222	0.623332	rs11087929				
1	21	15519520	rs11087929	15524696	rs76264357	1.0	rs11087929				
1	21	15519520	rs11087929	15525471	rs73894174	0.962908	rs11087929				
1	21	15519520	rs11087929	15528501	rs8131931	0.9813200000000001	rs11087929				
1	21	15519520	rs11087929	15532326	rs12627429	0.890827	rs11087929				
1	21	15519520	rs11087929	15533292	rs9974980	0.8769629999999999	rs11087929				
1	21	15519520	rs11087929	15533326	rs11909808	0.908005	rs11087929				
1	21	15519520	rs11087929	15533943	rs187091145	0.86136	rs11087929				
1	21	15519520	rs11087929	15533954	rs190440365	0.8769629999999999	rs11087929				
1	21	15519520	rs11087929	15535590	rs34992986	0.8769629999999999	rs11087929				
1	21	15519520	rs11087929	15535889	rs73346033	0.908005	rs11087929				
1	21	15519520	rs11087929	15537727	rs75730972	0.8889879999999999	rs11087929				
1	21	15519520	rs11087929	15543675	rs201292829	0.8731270000000001	rs11087929				
1	21	15627675	rs372926	15617806	rs422285	0.8746389999999999	rs372926				
1	21	15627675	rs372926	15627384	rs371833	0.9780120000000001	rs372926				
1	21	15627675	rs372926	15627468	rs395783	0.9780120000000001	rs372926				
1	21	15627675	rs372926	15627469	rs372192	0.995553	rs372926				
1	21	15627675	rs372926	15627552	rs2849867	0.9780120000000001	rs372926				
1	21	15627675	rs372926	15627610	rs372572	0.9780120000000001	rs372926				
1	21	15627675	rs372926	15627675	rs372926	1.0	rs372926	1.0000000000000001e-11	A	G	22250.0
1	21	15627675	rs372926	15627821	rs374803	0.9780120000000001	rs372926				
1	21	15627675	rs372926	15627888	rs387045	0.9780120000000001	rs372926				
1	21	15627675	rs372926	15628051	rs374293	0.973569	rs372926				
1	21	15627675	rs372926	15628132	rs374376	0.973569	rs372926				
1	21	15627675	rs372926	15628155	rs390411	0.973569	rs372926				
1	21	15627675	rs372926	15628243	rs385804	0.9780120000000001	rs372926				
1	21	15627675	rs372926	15628655	rs371798	0.973569	rs372926				
1	21	15627675	rs372926	15628819	rs12627045	0.973569	rs372926				
1	21	15627675	rs372926	15628854	rs35992090	0.9736530000000001	rs372926				
1	21	15627675	rs372926	15628917	rs34644173	0.944657	rs372926				
1	21	15627675	rs372926	15628942	rs35108576	0.948277	rs372926				
1	21	15627675	rs372926	15628963	rs28747670	0.9525450000000001	rs372926				
1	21	15627675	rs372926	15629023	rs34727133	0.9132440000000001	rs372926				
1	21	15627675	rs372926	15629040	rs60923053	0.973569	rs372926				
1	21	15627675	rs372926	15629139	rs61688357	0.973569	rs372926				
1	21	15627675	rs372926	15629174	rs2822515	0.973569	rs372926				
1	21	15627675	rs372926	15629926	rs380448	0.973569	rs372926				
1	21	15627675	rs372926	15629963	rs443217	0.973569	rs372926				
1	21	15627675	rs372926	15630014	rs56932835	0.9780120000000001	rs372926				
1	21	15627675	rs372926	15630292	rs396966	0.9780120000000001	rs372926				
1	21	15627675	rs372926	15630738	rs417159	0.9780120000000001	rs372926				
1	21	15627675	rs372926	15630812	rs417214	0.9780120000000001	rs372926				
1	21	15627675	rs372926	15630939	rs454285	0.9736530000000001	rs372926				
1	21	15627675	rs372926	15630941	rs417624	0.9780120000000001	rs372926				
1	21	15627675	rs372926	15631493	rs366582	0.9737819999999999	rs372926				
1	21	15627675	rs372926	15631771	rs450974	0.9737819999999999	rs372926				
1	21	15627675	rs372926	15632001	rs450799	0.9737819999999999	rs372926				
1	21	15627675	rs372926	15632021	rs436712	0.9737819999999999	rs372926				
1	21	15627675	rs372926	15632141	rs452620	0.9737819999999999	rs372926				
1	21	15627675	rs372926	15632187	rs432114	0.9737819999999999	rs372926				
1	21	15627675	rs372926	15632213	rs365433	0.9737819999999999	rs372926				
1	21	15627675	rs372926	15632656	rs375484	0.9443239999999999	rs372926				
1	21	15627675	rs372926	15633145	rs377191	0.9443239999999999	rs372926				
1	21	15627675	rs372926	15633694	rs386838	0.9314030000000001	rs372926				
1	21	15627675	rs372926	15633725	rs386866	0.9314030000000001	rs372926				
1	21	15627675	rs372926	15633889	rs452146	0.9314030000000001	rs372926				
1	21	15627675	rs372926	15634042	rs2510311	0.9314030000000001	rs372926				
1	21	15627675	rs372926	15634526	rs369035	0.9314030000000001	rs372926				
1	21	15627675	rs372926	15634862	rs140420934	0.9267639999999999	rs372926				
1	21	15627675	rs372926	15635131	rs35935559	0.9314030000000001	rs372926				
1	21	15627675	rs372926	15635571	rs366780	0.9271860000000001	rs372926				
1	21	15627675	rs372926	15635574	rs366776	0.9271860000000001	rs372926				
1	21	15627675	rs372926	15635607	rs383079	0.9271860000000001	rs372926				
1	21	15627675	rs372926	15635719	rs139421001	0.9314030000000001	rs372926				
1	21	15627675	rs372926	15635722	rs115334964	0.9314030000000001	rs372926				
1	21	15627675	rs372926	15635873	rs381944	0.9314030000000001	rs372926				
1	21	15627675	rs372926	15636166	rs408147	0.9314030000000001	rs372926				
1	21	15627675	rs372926	15636220	rs364536	0.9314030000000001	rs372926				
1	21	15627675	rs372926	15636272	rs380812	0.9314030000000001	rs372926				
1	21	15627675	rs372926	15637193	rs416744	0.9314030000000001	rs372926				
1	21	15627675	rs372926	15637217	rs393864	0.9314030000000001	rs372926				
1	21	15627675	rs372926	15637668	rs453719	0.9314030000000001	rs372926				
1	21	15627675	rs372926	15637831	rs453676	0.9314030000000001	rs372926				
1	21	15627675	rs372926	15637870	rs402768	0.9314030000000001	rs372926				
1	21	15627675	rs372926	15637957	rs453571	0.9314030000000001	rs372926				
1	21	15696231	rs28531918	15696231	rs28531918	1.0	rs28531918	1.0000000000000001e-11	C	T	22724.0
1	21	15696231	rs28531918	15698826	rs79156595	0.600989	rs28531918				
1	21	15696231	rs28531918	15701600	rs28785260	1.0	rs28531918				
1	21	15696231	rs28531918	15702209	rs141835309	1.0	rs28531918				
1	21	15696231	rs28531918	15702726	rs146080234	1.0	rs28531918				
1	21	15696231	rs28531918	15703615	rs140802905	1.0	rs28531918				
1	21	15696231	rs28531918	15705434	rs141899752	1.0	rs28531918				
1	21	15696231	rs28531918	15712015	rs77875296	1.0	rs28531918				
1	21	15696231	rs28531918	15717402	rs17240368	0.969357	rs28531918				
1	21	15696231	rs28531918	15718796	rs117787506	0.630916	rs28531918				
1	21	15696231	rs28531918	15720558	rs8128871	1.0	rs28531918				
1	21	15696231	rs28531918	15721638	rs12627714	0.9685229999999999	rs28531918				
1	21	15696231	rs28531918	15725162	rs2205253	0.909041	rs28531918				
1	21	15696231	rs28531918	15725733	rs79439970	0.909041	rs28531918				
